thewords,thewords,Freq
和谐,harmonious,2
黑白片,Black and white,2
黑手,Black hand,2
很快,soon,2
轰轰烈烈,vigorous,2
宏大,grand,2
忽然,All of a sudden,2
互相,Each other,2
华纳,Warner bros.,2
化身,avatar,2
化作,Turn into,2
幻术,illusion,2
换取,In return for,2
换上,Put on,2
荒凉,desolate,2
黄沙,Yellow sand,2
挥舞,waving,2
回家,home,2
回去,Go back to,2
回想,To recall,2
悔恨,regret,2
会计,accounting,2
昏昏欲睡,sleepy,2
活动,activity,2
活泼,lively,2
鸡蛋,eggs,2
基本上,"Basically,",2
基础,basis,2
激情,passion,2
羁绊,fetter,2
集团,group,2
集中,concentrated,2
嫉恶如仇,Detest evil,2
几位,A few,2
技术,technology,2
剂量,dose,2
記得,記得,2
加快,To speed up the,2
家里,In the home,2
家乡,hometown,2
家族,family,2
价值观,values,2
驾驶,driving,2
坚强,strong,2
坚硬,hard,2
间断,intermittent,2
监狱,prison,2
检查,check,2
见面,meet,2
建设,The construction of,2
健身,fitness,2
将要,Will be,2
酱油,The soy sauce,2
交换,exchange,2
交流,communication,2
角度,The Angle,2
叫做,called,2
接连,successive,2
劫匪,The robber,2
解放,liberation,2
解救,save,2
解散,The dissolution of,2
解脱,relief,2
介绍,introduce,2
介意,mind,2
今日,"Today,",2
金融,financial,2
紧张,nervous,2
谨慎,cautious,2
进来,Come in,2
近年来,"In recent years,",2
经常,often,2
精力,energy,2
竞赛,competition,2
究竟,what,2
酒精,alcohol,2
救人,save,2
就此,In this,2
就要,Will be,2
具备,have,2
剧照,still,2
剧组,The cast,2
据说,It is said that,2
距离,distance,2
卷入,Involved in,2
爵士,Sir,2
军人,A soldier,2
开启,open,2
开头,At the beginning,2
看起来,look,2
看上去,look,2
科幻,Science fiction,2
可爱,lovely,2
可不,Don't,2
可见,visible,2
可能性,possibility,2
可谓,a,2
克服,To overcome the,2
吭哧,chi,2
苦难,suffering,2
夸张,hyperbole,2
拉开,open,2
来回,Back and forth,2
来临,coming,2
狼狈,mess,2
浪费,waste,2
浪人,ronin,2
捞钱,Take money,2
老板,The boss,2
老花镜,Reading glasses,2
老年人,The elderly,2
老朋友,My old friend,2
老人家,The old man,2
冷漠,indifference,2
礼貌,polite,2
礼物,gift,2
理念,concept,2
力不从心,puff,2
立刻,immediately,2
立体,The three-dimensional,2
利益,The interests of,2
联盟,union,2
联手,Teamed up with,2
联系,contact,2
脸上,On the face,2
恋爱,Fall in love,2
恋人,lovers,2
良知,conscience,2
两次,two,2
两对,Two pairs of,2
两条,Article 2.,2
临近,near,2
临时,temporary,2
临终,dying,2
领导,leadership,2
领教,A vestige,2
领域,field,2
另一方面,On the other hand,2
路过,Pass by,2
路上,On the way,2
掠夺,plunder,2
旅途,The journey,2
绿水,Green water,2
麻痹,paralysis,2
麻醉,anesthesia,2
马车,The carriage,2
马德里,Madrid,2
埋葬,buried,2
满满,full,2
满身,Covered in,2
没事,ok,2
没意思,boring,2
美国队,The United States,2
门铃,The doorbell,2
梦想,dream,2
迷航,trek,2
面孔,face,2
面目全非,Beyond recognition,2
面前,In front of,2
面向,oriented,2
灭顶之灾,One's head above water,2
敏锐,sharp,2
名单,list,2
名将,star,2
明明,Ming Ming,2
明星,star,2
明知,Knowing that,2
模仿,imitation,2
末路,end,2
末日,The end of the,2
陌生,strange,2
莫名其妙,Without rhyme or reason,2
目标,The target,2
目光,eyes,2
哪个,Which of the,2
哪怕,Even if the,2
那段,During the,2
那时,At that time,2
难怪,It is no wonder that,2
脑子,The brain,2
内华达州,Nevada,2
内疚,guilt,2
年代,s,2
年纪,age,2
宁可,Would rather,2
女神像,Statue of liberty,2
女王,The queen,2
女性,women,2
拍摄,shooting,2
排队,Line up,2
排挤,Crowding out,2
派对,party,2
判断,judge,2
叛逆,rebellious,2
旁边,beside,2
胖子,Fat man,2
抛开,Put aside,2
配合,Cooperate with,2
碰到,encounter,2
皮肤癌,Skin cancer,2
疲惫,tired,2
脾气,temper,2
偏偏,It happened that,2
片儿,lozenges,2
片名,The title,2
品质,The quality of,2
平等,equality,2
屏幕,The screen,2
迫不及待,Can't wait,2
曝光,exposure,2
其他人,others,2
奇葩,Wonderful work,2
歧视,discrimination,2
乞讨,begging,2
恰恰,precisely,2
千里,Thousands of miles,2
签到,Sign in,2
前面,In front of the,2
前妻,His ex-wife,2
前所未有,An unprecedented,2
枪手,The gunners,2
强行,forced,2
强调,Emphasis on,2
亲爱,dear,2
亲口,personally,2
青山,Castle peak,2
轻信,trusting,2
清楚,clear,2
情结,complex,2
请问,"Excuse me,",2
庆云,Igawa cloud,2
穷困,poor,2
去除,Get rid of,2
权限,permissions,2
全场,full,2
全面,comprehensive,2
全世界,All over the world,2
缺乏,The lack of,2
确认,confirm,2
热爱,love,2
人家,The somebody else,2
人群,The crowd,2
人心,The heart,2
忍不住,Can't help,2
认真,seriously,2
任性,wayward,2
仍旧,still,2
日常,daily,2
日落,The sunset,2
日益,increasingly,2
柔情,Tender feelings,2
柔软,soft,2
肉体,The body,2
入侵,The invasion of,2
入围,shortlisted,2
三部曲,trilogy,2
三星,samsung,2
善恶,Good and evil,2
善意,In good faith,2
擅长,Good at,2
伤感,sad,2
上周,"Last week,",2
设施,facilities,2
设置,Set up the,2
身世,origin,2
身手,skill,2
身子,The body,2
深厚,deep,2
什么样,What kind of,2
神话,myth,2
甚至于,even,2
升华,sublimation,2
生产,production,2
生计,To make a living,2
生老病死,physical,2
生理,The physiological,2
生气,angry,2
生意,business,2
生硬,blunt,2
师徒,Teacher and pupil,2
十个,ten,2
十几分钟,More than ten minutes,2
十足,full,2
时期,period,2
实际,The actual,2
实际上,In fact,2
实力,power,2
实则,But in fact,2
食物,food,2
時代,時代,2
使命,mission,2
士兵,The soldiers,2
世界大战,World war ii,2
世事,The world,2
似的,like,2
事实上,"In fact,",2
试探,temptation,2
试映,preview,2
视听,audio-visual,2
视为,As a,2
是不是,Isn't it,2
是因为,because,2
适合,Suitable for,2
收费,charge,2
收集,collect,2
收尾,finishing,2
手背,The back of hand,2
手法,methods,2
手术,surgery,2
手下,under,2
首发,The starting,2
受伤,injured,2
熟悉,Be familiar with,2
熟知,Familiar with,2
树林,The woods,2
数据,data,2
数字,digital,2
双打,doubles,2
双目,binocular,2
水平,The level of,2
水塔,The water tower,2
水箱,The water tank,2
睡着,I fell asleep,2
顺带,"Incidentally,",2
说说,Tell me about,2
思考,thinking,2
思路,Train of thought,2
送别,farewell,2
送给,to,2
随时,At any time,2
所剩无几,little,2
所在,Where the,2
态度,attitude,2
堂堂,open,2
糖浆,syrup,2
逃避,escape,2
特殊,special,2
特意,specially,2
疼痛,The pain,2
提及,mention,2
提示,prompt,2
题材,Subject matter,2
替代,alternative,2
天生,natural,2
天下,All over the world,2
添加,add,2
甜食,sweets,2
条件,conditions,2
调教,Emphasis has been placed on the,2
跳出,Jump out of the,2
贴片,The patch,2
铁骨,frame,2
同归于尽,Mutually assured destruction,2
同意,Agreed to,2
统治,rule,2
头脑,The mind,2
头像,Head portrait,2
推测,speculation,2
颓废,decadent,2
退路,retreat,2
退休,retired,2
托尼,Tony,2
唾弃,Spit on,2
外场,outfield,2
外面,outside,2
晚景,outlook,2
惋惜,sorry,2
王国,The kingdom of,2
网站,Web site,2
往日,The past,2
往事,Once upon a time in,2
为止,"So far,",2
违背,Contrary to,2
维护,maintenance,2
委屈,injustice,2
未成年人,minors,2
位置,location,2
问号,The question mark,2
我們,we,2
无比,so,2
无敌,invincible,2
无聊,boring,2
无私,selfless,2
无意,Has no intention of,2
五颗,Five star,2
五星,The five-star,2
夕阳,The setting sun,2
希腊,The Greek,2
喜爱,love,2
细细,Fine fine,2
下风,lee,2
先例,precedent,2
显然,clearly,2
羡慕,envy,2
相比,Compared with the,2
相处,Get along with,2
相反,On the contrary,2
相貌,looks,2
相似,similar,2
香港,Hong Kong,2
骁勇,The most,2
消耗,consumption,2
消亡,die,2
小朋友,The children,2
写照,portraiture,2
心怀,heart,2
心情,In the mood,2
心酸,sad,2
心疼,Love dearly,2
心意,heart,2
新生,new,2
新闻,news,2
新衣,New clothes,2
星际,The star,2
形容,describe,2
幸福,happiness,2
性命,life,2
胸口,chest,2
雄心,ambition,2
羞愧,shame,2
叙述,The narrative,2
学会,Learn to,2
雪茄,cigar,2
血流,The blood flow,2
血气方刚,soft,2
血性,hemorrhagic,2
寻找,Looking for,2
押送,van,2
阉割,castration,2
掩盖,To cover up,2
眼镜,glasses,2
眼里,In the eyes,2
眼神,Look in the eyes,2
演出,The performance,2
演技,acting,2
养活,feed,2
养家,To support a family,2
样本,sample,2
药剂,potion,2
药瓶,The bottle,2
药物,drug,2
要么,either,2
爷爷,grandpa,2
冶炼,smelting,2
一百多年,More than one hundred years,2
一边,On one side,2
一遍,again,2
一处,a,2
一滴,A drop of,2
一点点,A little bit,2
一二,Just a little,2
一番,a,2
一个碗,A bowl of,2
一口气,A sigh of relief,2
一块,A piece of,2
一脸,A face,2
一批,A group of,2
一任,next,2
一如既往,"As always,",2
一首歌,A song,2
一瞬间,In an instant,2
一所,a,2
一套,A set of,2
一通,A call,2
一支,a,2
一致,consistent,2
医生,The doctor,2
遗传学,genetics,2
遗憾,sorry,2
疑问,doubt,2
以来,since,2
以外,outside,2
义不容辞,obligatory,2
义无反顾,absolute,2
艺术,art,2
异常,abnormal,2
异能,power,2
抑制,Inhibition of,2
意思,You mean,2
意外,accident,2
饮料,drinks,2
饮食,diet,2
隐瞒,hide,2
隐士,hermit,2
隐退,retreat,2
隐姓埋名,anonymity,2
隐喻,metaphor,2
隐约,A faint,2
赢得,win,2
硬汉,Tough guy,2
优雅,elegant,2
友好,friendly,2
有钱,rich,2
有时,sometimes,2
有所,a,2
有血有肉,Flesh and blood,2
幼稚,naive,2
与其,With its,2
语言,language,2
预期,expected,2
预言,predictions,2
愈合,healing,2
原本,originally,2
原作,The original,2
约稿,manuscripts,2
陨落,fall,2
再见,goodbye,2
遭遇,encounter,2
早早,early,2
责任,responsibility,2
憎恨,hate,2
炸掉,Blow up,2
展开,an,2
展现,show,2
战利品,The spoils,2
长成,To grow,2
长久,For a long time,2
长眠,sleep,2
丈夫,"Her husband,",2
找事,Another project,2
照料,Take care of,2
照片,photo,2
着急,In a hurry,2
真人,reality,2
诊所,clinic,2
震撼,shock,2
整版,sheet,2
正常人,A normal person,2
正确,correct,2
之所以,The reason,2
之中,Among the,2
指导,To guide the,2
指引,guide,2
挚爱,dear,2
致富,To get rich,2
中间,In the middle,2
中年,middle-aged,2
中央,The central,2
忠于,Be loyal to the,2
终点,At the end of,2
众多,A number of,2
众人,The crowd,2
众所周知,As is known to all,2
重伤,Seriously injured,2
重视,Attaches great importance to,2
诸多,A lot of,2
主动,Take the initiative to,2
主谋,mastermind,2
主使,The Lord grant,2
注重,Pay attention to,2
祝福,blessing,2
抓捕,capture,2
专车,car,2
专座,seats,2
转基因,Genetically modified (gm),2
转身,Turn around,2
装备,equipment,2
壮士,A strong man,2
状况,condition,2
资料,data,2
自行,On their own,2
自理,Provide for oneself,2
自杀,suicide,2
总部,headquarters,2
总结,conclusion,2
总统,The President,2
总之,In a word,2
走过,through,2
走向,towards,2
最佳,The best,2
最为,One of the most,2
左右,Or so,2
作战,combat,2
做法,practice,2
926,926,1
10点,Ten o 'clock,1
10岁,Ten years old,1
10位,10,1
10月,On October,1
11,11,1
11岁,11 years old,1
123分钟,123 minutes,1
12点,12 o 'clock,1
12日,"12,",1
137分钟,137 minutes,1
140个,140,1
1500万,15 million,1
15578511544,15578511544,1
160,160,1
17号,17,1
1974年,"In 1974,",1
1993,1993,1
1号,No. 1,1
1日,"1,",1
1亿,100 million,1
2002年,"In 2002,",1
2003年,"In 2003,",1
2004年,"In 2004,",1
2008,2008,1
2014年,"In 2014,",1
2016,2016,1
2016年,"In 2016,",1
2017,2017,1
2018年,"In 2018,",1
2028年,"In 2028,",1
20多年,More than twenty years,1
20号,20,1
20余个,More than 20,1
21,21,1
21磅,21 pounds,1
22次,22,1
23把,23 the,1
23日,"23,",1
23首次,23 for the first time,1
23一,23 a,1
23一路,23 all the way,1
23组,23 group,1
24发,24 hair,1
24号,24,1
250,250,1
25年,25 years,1
27亿刀,$2.7 billion,1
2号,No. 2,1
2月,On February,1
30斤,30 jins,1
30日,"30,",1
36,36,1
360度,360 degrees,1
3根,3 root,1
3号,"No. 3,",1
3位,three,1
3只,3 only,1
40分钟,40 minutes,1
46年,46 years,1
4号,4,1
50,50,1
50秒,50 seconds,1
50年,50 years,1
51,51,1
60,60,1
616,616,1
63,63,1
6627,6627,1
6666,6666,1
6年,6 years,1
6位,six,1
7分,7 points,1
7万美元,Us $70000,1
8500万,85 million,1
8岁,At the age of eight,1
99年,"In 99,",1
9位,nine,1
9月,On September,1
APP,应用程序,1
BUG,错误,1
CEO,首席执行官,1
DNA,DNA,1
DOFP,DOFP,1
DVD,DVD,1
EC,电子商务,1
GRAYLAMB,GRAYLAMB,1
IP,知识产权,1
IX,第九,1
JC,JC,1
LGBT,同性恋,1
LOGAN,洛根,1
MV,MV,1
PS,PS,1
RD,理查德·道金斯,1
SM,SM,1
SSR,苏维埃社会主义共和国,1
TMD,战区导弹防御系统,1
TOP,前,1
XCU,XCU,1
XXX,XXX,1
挨打,A beating,1
矮子,A dwarf,1
爱人,lover,1
爱憎分明,Aizeng clear,1
安插,install,1
安度,weathering,1
安抚,calm,1
安静,quiet,1
安身立命,living,1
安葬,burial,1
岸上,The shore,1
按部就班,Step by step,1
按摩,massage,1
按照,In accordance with the,1
暗黑,The diablo,1
暗杀,The assassination,1
傲骨,Pride;,1
傲慢,arrogance,1
奥斯卡奖,The Academy Awards,1
澳大利亚,Australia,1
八零,#VALUE!,1
把握,grasp,1
霸王,overlord,1
白发苍苍,white-haired,1
白粉,White powder,1
白宫,The White House,1
白领,White collar workers,1
白人,white,1
白血病,leukemia,1
白眼,Supercilious look,1
百步穿杨,with,1
百多岁,The s,1
百分百,absolutely,1
百货,department,1
百年,"In one hundred,",1
斑白,gray,1
搬运,handling,1
板块,plate,1
版块,section,1
半成品,Semi-finished products,1
半瓶,Half a bottle of,1
伴舞,dancers,1
帮忙,help,1
包裹,The parcel,1
包容,inclusive,1
包围,Surrounded by,1
饱满,full,1
宝贵,precious,1
保密,A secret,1
保守,conservative,1
堡垒,The fortress,1
报酬,remuneration,1
报道,reports,1
报警,Call the police,1
报应,retribution,1
暴行,atrocities,1
暴利,A windfall,1
暴露,exposed,1
暴露无遗,exposed,1
暴怒,rage,1
爆炸,The explosion,1
杯子,The cup,1
悲剧性,The tragic,1
北边,To the north,1
北京,Beijing,1
北上,north,1
贝尔,bell,1
背后,behind,1
背影,figure,1
倍受,The highly,1
被动,passive,1
本职工作,The labor of duty,1
崩溃,collapse,1
崩塌,The collapse of,1
逼迫,forced,1
逼真,realistic,1
鼻涕,"Your nose,",1
鼻子,nose,1
比例,The proportion,1
比赛,The game,1
笔画,stroke,1
鄙夷,disdain,1
必备,necessary,1
必然,necessarily,1
避免,avoid,1
避难所,shelter,1
变化,change,1
变迁,change,1
变形,deformation,1
遍布,All over,1
标明,mark,1
标准,standard,1
表面,The surface of the,1
别的,other,1
别墅,villa,1
别提,Don't mention,1
别无二致,',1
宾馆,The hotel,1
濒临,On the verge of,1
冰冻,frozen,1
兵团,Production and construction corps,1
并驾齐驱,Neck and neck,1
并肩作战,Fight together,1
并未,Did not,1
并用,with,1
病人,The patient,1
摒弃,Slam the door,1
拨通,dial,1
播放,play,1
播映,broadcast,1
脖颈,neck,1
博爱,love,1
捕猎,hunting,1
不安,uneasy,1
不但,Not only,1
不得了,such,1
不妨,Might as well,1
不服,Refuses to accept,1
不符,Does not conform to,1
不复存在,gone,1
不共戴天,sworn,1
不光,Not only,1
不好,bad,1
不好意思,I'm sorry,1
不经意,casual,1
不可思议,incredible,1
不愧为,Deserves to be,1
不免,unavoidable,1
不明,unknown,1
不耐烦,impatient,1
不屈,surrender,1
不忍,Could not bear,1
不入流,dirty,1
不适感,discomfort,1
不停,constantly,1
不为人知,unknown,1
不问,"Don't ask, don't",1
不惜,Do not hesitate to,1
不相上下,par,1
不屑,disdain,1
不朽,immortal,1
不在少数,Not a few,1
不择手段,By hook or by crook,1
不怎么样,Is not so good,1
不至于,not,1
不住,Don't live,1
不足,insufficient,1
步步,Step by step,1
猜想,guess,1
才华,talent,1
财产,property,1
采取,take,1
菜市场,Vegetable market,1
参与,To participate in,1
餐饮,Food and beverage,1
餐桌,table,1
残废,disabled,1
残疾,disability,1
残联,Disabled persons' federation,1
残破,broken,1
残忍,cruel,1
蚕食,eating,1
惨淡,A dismal,1
惨死,dead,1
惨痛,painful,1
仓促,hasty,1
苍白,pale,1
操纵,manipulation,1
糙米,Brown rice,1
草草,caocao,1
侧重,Focusing on the,1
测评,The measurement,1
策略,strategy,1
层出不穷,Emerge in endlessly,1
曾經,once,1
插曲,episode,1
茶余饭后,In dinner,1
查查,check,1
查出,Find out,1
查看,To view,1
查证,To verify,1
差错,error,1
差距,The gap between,1
差强人意,poor,1
柴米油盐,Daily necessities,1
缠绕,winding,1
缠身,with,1
产品,product,1
产业,industry,1
铲除,To remove,1
阐释,interpretation,1
阐述,This paper,1
長河,長河,1
常见,common,1
常年,All the year round,1
场内,The field,1
超大,Very large,1
超凡,extraordinary,1
超过,More than,1
超市,The supermarket,1
朝代,dynasty,1
朝气,vigor,1
车祸,A car accident,1
臣服,obedience,1
尘埃,The dust,1
尘世,The world,1
沉浸,immersion,1
沉思,meditation,1
沉稳,composed,1
撑场面,Keep up appearance,1
成分,composition,1
成就,achievement,1
成年人,adults,1
成品,The finished product,1
诚实,honest,1
承担,To undertake,1
承接,To undertake,1
承诺,commitment,1
承认,admit,1
乘龙快婿,son-in-law,1
程序,The program,1
吃惊,surprised,1
吃亏,A disadvantage,1
吃水,draft,1
吃药,Take the medicine,1
嗤之以鼻,#VALUE!,1
迟迟,Has been slow to,1
迟钝,slow,1
迟缓,slow,1
耻辱,#VALUE!,1
斥责,rebuke,1
赤裸裸,naked,1
冲锋陷阵,The charge,1
冲击力,#VALUE!,1
充斥,Filled with,1
充分,fully,1
憧憬,Looking forward to,1
崇拜,#VALUE!,1
抽取,extracting,1
惆怅,melancholy,1
丑陋,ugly,1
臭不可闻,#VALUE!,1
出发,Set out,1
出色,good,1
初次,For the first time,1
初高中,#VALUE!,1
初期,In the early,1
除非,unless,1
除外,With the exception of,1
储存,#VALUE!,1
处处,everywhere,1
畜生,beast,1
触发,The trigger,1
触怒,#VALUE!,1
穿过,Through the,1
传出,outgoing,1
传来,from,1
传说,#VALUE!,1
传言,The rumors,1
船主,The ship owners,1
喘气,Out of breath,1
窗口,#VALUE!,1
闯入,Broke into,1
创设,The creation of,1
创始人,The founder of,1
创意,#VALUE!,1
创造,create,1
创造者,The creator,1
春心,stop,1
纯净,#VALUE!,1
蠢货,fool,1
慈爱,mercy,1
慈悲,compassion,1
慈祥,#VALUE!,1
雌性,The female,1
此次,the,1
次次,Every time,1
刺头,#VALUE!,1
刺猬,The hedgehog,1
刺中,stung,1
匆忙,In a hurry,1
聪明,#VALUE!,1
聪颖,intelligent,1
从今,From now on,1
从来不,never,1
从那之后,#VALUE!,1
从前,Once upon a time,1
从天而降,From the sky,1
从新,From the new,1
粗糙,#VALUE!,1
粗鲁,rude,1
粗略,A rough,1
粗制滥造,Churn out,1
促成,#VALUE!,1
催人泪下,SOB,1
摧残,destruction,1
摧毁,destroy,1
脆弱,#VALUE!,1
存款,deposit,1
存亡,survival,1
措施,measures,1
错觉,#VALUE!,1
打包,packaging,1
打抱不平,A keen,1
打成,mingle,1
打断,#VALUE!,1
打发,sent,1
打官腔,Bureaucratic jargon,1
打搅,To disturb,1
打擂台,#VALUE!,1
打磨,polishing,1
打破,break,1
打扰,To disturb,1
打伞,#VALUE!,1
打探,Find out,1
打招呼,"Say ""hello""",1
打字,typing,1
大败,#VALUE!,1
大吃一惊,A surprise,1
大慈大悲,Great mercy,1
大打出手,fights,1
大大小小,#VALUE!,1
大胆,bold,1
大道,Avenue.,1
大队,brigade,1
大哥,#VALUE!,1
大褂,A coat,1
大规模,On a large scale,1
大海,The sea,1
大会,#VALUE!,1
大火,The fire,1
大力,vigorously,1
大楼,building,1
大妈,#VALUE!,1
大漠,The desert,1
大炮,The cannon,1
大批,A large number of,1
大权,#VALUE!,1
大全,daqo,1
大人物,Big man,1
大师,The master,1
大石,#VALUE!,1
大戏,drama,1
大牙,A lioness,1
大义,'s sense of honor,1
大致,#VALUE!,1
代号,Code name,1
代课,A substitute,1
代名词,pronoun,1
代言人,#VALUE!,1
带回,Back to the,1
带领,led,1
担当,bear,1
担负,#VALUE!,1
担任,As a,1
担忧,Concerns about,1
担子,The burden,1
单薄,#VALUE!,1
单词,The word,1
单名,single-name,1
单篇,A single,1
单身,#VALUE!,1
耽误,delay,1
胆小鬼,coward,1
弹奏,play,1
蛋白,#VALUE!,1
当初,The original,1
当地,The local,1
当晚,In the evening,1
当下,#VALUE!,1
當初,The original,1
挡箭牌,shield,1
荡漾,ripples,1
刀片,#VALUE!,1
捣毁,crush,1
倒不如,Might as well,1
倒塌,collapsed,1
倒下,#VALUE!,1
到达,arrive,1
到家,home,1
道路,The road,1
道义,#VALUE!,1
得了,got,1
得力,Right-hand man,1
得以,to,1
得益,#VALUE!,1
德州,Texas,1
的确,indeed,1
灯红酒绿,neon,1
登山,#VALUE!,1
等到,Wait until the,1
低头,bow,1
敌国,The enemy,1
抵达,#VALUE!,1
抵挡,resist,1
抵抗,resistance,1
底色,The base of color,1
底下,#VALUE!,1
地点,place,1
地盘,turf,1
地痞,He swaggered,1
地上,#VALUE!,1
地图,The map,1
地址,address,1
帝国,The empire,1
递进,#VALUE!,1
第1090个,The 1090th,1
第11集,11 sets,1
第180期,180,1
第67届,#VALUE!,1
第74分钟,The 74th minute,1
第二遍,The second time,1
第二次,The second time,1
第二届,#VALUE!,1
第二眼,The second eye,1
第二重,The second,1
第三,The third,1
第三季,#VALUE!,1
第三种,The third kind of,1
第三重,The third,1
第十次,The tenth,1
第一场,#VALUE!,1
第一个,The first one,1
第一幕,The first act,1
第一排,In the first row,1
第一位,#VALUE!,1
第一眼,At first glance,1
第一支,The first one,1
第一重,The first heavy,1
颠覆,#VALUE!,1
巅峰,peak,1
点滴,Intravenous drip,1
电视,TV,1
电视机,#VALUE!,1
店员,The shop assistant,1
電影,電影,1
凋零,die,1
貂熊,#VALUE!,1
跌入,Fall into,1
订单,The order,1
定论,conclusion,1
定位,#VALUE!,1
丢掉,lose,1
丢失,The loss of,1
东岸,On the east,1
东方,#VALUE!,1
东京,Tokyo,1
懂得,understand,1
动不动,every,1
动人,#VALUE!,1
洞口,The mouth of the cave,1
斗篷,cloak,1
斗争,struggle,1
斗志,#VALUE!,1
嘟囔,muttering,1
毒素,poison,1
独白,monologue,1
独裁者,#VALUE!,1
独揽,monopoly,1
独立自主,independent,1
独生子,An only child,1
独特,#VALUE!,1
独眼龙,One eyed person,1
独有,unique,1
独自,"Alone,",1
读者,#VALUE!,1
度假,A holiday,1
端倪,clue,1
短短,#VALUE!,1
短短的,#VALUE!,1
短路,A short circuit,1
短暂,A brief,1
段子,#VALUE!,1
断头,#VALUE!,1
断肢,limb,1
队友,His teammates,1
对方,#VALUE!,1
对立,#VALUE!,1
对外,foreign,1
对应,The corresponding,1
对照,#VALUE!,1
对峙,#VALUE!,1
多餐,Much food,1
多打,How to play,1
多多,#VALUE!,1
多项,#VALUE!,1
多余,redundant,1
多月,More than a month,1
多张,#VALUE!,1
多只,#VALUE!,1
多重,multiple,1
躲开,To avoid,1
厄运,#VALUE!,1
恶魔,#VALUE!,1
恶人,The wicked,1
恶战,battle,1
恩怨,#VALUE!,1
耳边,#VALUE!,1
耳朵,ear,1
二百多年,More than two hundred years,1
二来,#VALUE!,1
二十,#VALUE!,1
二十年,Twenty years,1
二位,two,1
二元,#VALUE!,1
发病,#VALUE!,1
发光,luminous,1
发掘,discover,1
发脾气,#VALUE!,1
发源地,#VALUE!,1
乏味,boring,1
翻译片,Translation piece,1
翻阅,#VALUE!,1
烦恼,#VALUE!,1
繁殖,breeding,1
反差,contrast,1
反对,#VALUE!,1
反过来,#VALUE!,1
反击,counterattack,1
反抗,resistance,1
反目,#VALUE!,1
反叛,#VALUE!,1
反其道而行之,In the opposite direction,1
反思,reflection,1
返回,#VALUE!,1
泛起,#VALUE!,1
范畴,category,1
方便,convenient,1
方向,#VALUE!,1
方舟,#VALUE!,1
防备,Guard against,1
妨碍,Interfere with the,1
放大,#VALUE!,1
放过,#VALUE!,1
放浪形骸,degenerate,1
放射性,radioactive,1
飞黄腾达,#VALUE!,1
飞跃,#VALUE!,1
非人,nonhuman,1
非同寻常,unusual,1
绯红,#VALUE!,1
分辨率,#VALUE!,1
分开,separate,1
分离,The separation of,1
分明,#VALUE!,1
分身,#VALUE!,1
分数,score,1
分钟,minutes,1
纷繁,#VALUE!,1
纷争,#VALUE!,1
坟墓,The grave,1
奋不顾身,I throw,1
愤愤,#VALUE!,1
丰厚,#VALUE!,1
丰满,plump,1
风波,The wave,1
风险,#VALUE!,1
封面,#VALUE!,1
封装,encapsulation,1
峰回路转,To master the,1
奉献,#VALUE!,1
夫人,#VALUE!,1
伏笔,seeds,1
扶持,support,1
服气,#VALUE!,1
服务,#VALUE!,1
浮夸,grandiose,1
福分,blessing,1
福利,#VALUE!,1
父爱,#VALUE!,1
负担,The burden of,1
负重,The load,1
附加,#VALUE!,1
附注,#VALUE!,1
复兴,Renaissance,1
复杂,complex,1
富人,#VALUE!,1
富有,#VALUE!,1
腹部,The abdomen,1
改进,To improve the,1
概率,#VALUE!,1
肝胆,#VALUE!,1
赶到,Arrived at the,1
敢死队,Death squads,1
敢于,#VALUE!,1
感覺,#VALUE!,1
感念,appreciation,1
感染,infection,1
感人至深,#VALUE!,1
感伤,#VALUE!,1
感同身受,empathy,1
感悟,feeling,1
感知,#VALUE!,1
干扰,#VALUE!,1
钢骨,Steel bone,1
钢条,Steel bar,1
钢针,#VALUE!,1
高傲,#VALUE!,1
高层,At the top,1
高处,high,1
高蛋白,#VALUE!,1
高度,#VALUE!,1
高干,Gao gan,1
高楼大厦,High-rise buildings,1
高速路,#VALUE!,1
高音,#VALUE!,1
高于,above,1
高中,High school,1
稿费,#VALUE!,1
告別,#VALUE!,1
告诫,warning,1
哥哥,The elder brother,1
割裂,#VALUE!,1
割舍,#VALUE!,1
格斗,combat,1
格局,pattern,1
格外,#VALUE!,1
隔壁,#VALUE!,1
个别,individual,1
个体,individual,1
各地,#VALUE!,1
各色,#VALUE!,1
各式各样,A variety of,1
各种各样,A variety of,1
各自,#VALUE!,1
更改,#VALUE!,1
更新,update,1
更正,correct,1
工人,#VALUE!,1
公布,#VALUE!,1
公开,public,1
公映,release,1
公寓,#VALUE!,1
公园,#VALUE!,1
恭维,compliment,1
巩固,To consolidate,1
共享,#VALUE!,1
贡献,#VALUE!,1
供应,supply,1
苟活,gou,1
狗急跳墙,#VALUE!,1
够格,#VALUE!,1
孤寂,"Lonely,",1
孤立无援,isolated,1
孤零零,#VALUE!,1
孤身一人,#VALUE!,1
辜负,Live up to,1
古时候,In ancient times,1
谷内,#VALUE!,1
骨架,#VALUE!,1
骨气,backbone,1
骨头,The bone,1
固有,#VALUE!,1
雇主,#VALUE!,1
乖巧,clever,1
怪胎,A freak,1
怪物,#VALUE!,1
怪异,#VALUE!,1
关爱,Take care of,1
关公,The duke guan,1
关联,#VALUE!,1
关心,#VALUE!,1
观察,To observe the,1
观点,view,1
观赏,#VALUE!,1
观赏性,#VALUE!,1
观世音,The goddess of mercy,1
管理者,managers,1
惯用,#VALUE!,1
灌注,#VALUE!,1
光彩,glorious,1
